term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
cellular senescence,0,0,14,0,"{23408353, 34001634, 35477123, 30614183, 25461770, 28948203, 28892048, 19904754, 30003124, 33649045, 24583638, 31133044, 26904954, 32554750}","{23792448, 27081696, 36755269, 33495462, 32954665, 21889194, 34183849, 26802028, 30539410, 31265875, 36458010, 29434197, 34803511, 34160250}", ,,#N/A,,,,,,,pik3ca,aspirin,HY-L025-46,C07,HY-14654,Aspirin,Acetylsalicylic Acid; ASA,50-78-2,180.16,Apoptosis; Autophagy; Caspase; COX; Mitophagy; NF-κB; p38 MAPK; Virus Protease,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; MAPK/ERK Pathway; NF-κB,"Aspirin (Acetylsalicylic Acid) is an orally active, potent and irreversible inhibitor of cyclooxygenase COX-1 and COX-2, with IC50 values of 5 and 210 μg/mL, respectively. Aspirin induces apoptosis. Aspirin inhibits the activation of NF-κB. Aspirin also inhibits platelet prostaglandin synthetase, and can prevent coronary artery and cerebrovascular thrombosis[1][2][3][4][5][6].",C9H8O4,DMSO : 400 mg/mL (2220.25 mM; Need ultrasonic); H2O : 0.1 mg/mL (0.56 mM; Need ultrasonic),10mM,Cancer; Infection; Metabolic Disease; Inflammation/Immunology; Cardiovascular Disease,Launched,OC(C1=C(OC(C)=O)C=CC=C1)=O
programmed cell death,0,1,14,0,"{32337408, 36311715, 36586571, 35948109, 31709456, 37065746, 32194994, 27402485, 34698902, 35581303, 23213974, 35222011, 26097885, 11526239}","{32630154, 36752907, 30696721, 36539410, 24952595, 33158814, 30824609, 32366754, 28270499, 36898211, 23728299, 32303673, 35127482, 31633227, 36873167, 31751121, 32726482, 35332309, 36799196, 32863216, 35289334, 34524279, 35918330, 30266108}", ,,#N/A,,,,,,,pik3ca,taselisib,HY-L025-41,C04,HY-13898,Taselisib,GDC-0032; RG-7604,1282512-48-4,460.53,PI3K,PI3K/Akt/mTOR,"Taselisib (GDC-0032) is a potent PI3K inhibitor targets PIK3CA mutations, with Kis of 0.12 nM, 0.29 nM, 0.97 nM, and 9.1 nM for PI3Kδ, PI3Kα, PI3Kγ and PI3Kβ, respectively.",C24H28N8O2,DMSO : 25 mg/mL (54.29 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Phase 3,CC(C)N1C(C2=CN3C(C(C(OCC3)=C4)=CC=C4C5=CN(C(C)(C(N)=O)C)N=C5)=N2)=NC(C)=N1
retinoblastoma,0,0,14,0,"{20113529, 21699781, 25042889, 32655498, 15811853, 26904954, 32256815, 28892048, 27347121, 30003124, 36882420, 29059158, 32234521, 9641882}","{29914080, 9326598, 19244327, 11331592, 15548137, 31485609, 33515627, 36596519, 7523245, 21447565, 33080301, 36274096, 9016949, 37014264, 36318650, 20495359}", ,,#N/A,,,,,,,pik3ca,alpelisib,HY-L025-50,F10,HY-15244,Alpelisib,BYL-719,1217486-61-7,441.47,PI3K,PI3K/Akt/mTOR,"Alpelisib (BYL-719) is a potent, selective, and orally active PI3Kα inhibitor. Alpelisib (BYL-719) shows efficacy in targeting PIK3CA-mutated cancer. Alpelisib (BYL-719) also inhibits p110α/p110γ/p110δ/p110β with IC50s of 5/250/290/1200 nM, respectively. Antineoplastic activity[1][2][3].",C19H22F3N5O2S,DMSO : 83.33 mg/mL (188.76 mM; Need ultrasonic),10mM,Cancer,Launched,CC(N=C(S1)NC(N2CCC[C@H]2C(N)=O)=O)=C1C3=CC(C(C)(C(F)(F)F)C)=NC=C3
cell cycle regulation,0,1,14,0,"{12647072, 30084546, 28825637, 24058792, 11382316, 17363501, 36975534, 34888306, 26384530, 23912084, 17078869, 12605716, 10935512, 8927612}","{23950209, 35765893, 30272279, 36193305, 30042400, 19244327, 19683497, 28653353, 25623213, 24924589, 34385584, 26378038, 34062779, 26303420, 28838216, 20032077, 30048594, 27081696, 19596781, 33086063, 24220028, 15112318}", ,,#N/A,,,,,,,bax,astragaloside iv,HY-L025-74,D03,HY-N0431,Astragaloside IV,,84687-43-4,784.97,ERK; JNK; MMP,MAPK/ERK Pathway; Metabolic Enzyme/Protease; Stem Cell/Wnt,"Astragaloside IV, an active component isolated from Astragalus membranaceus, suppresses the activation of ERK1/2 and JNK, and downregulates matrix metalloproteases (MMP)-2, (MMP)-9 in MDA-MB-231 breast cancer cells.",C41H68O14,DMSO : ≥ 100 mg/mL (127.39 mM),10mM,Cancer,No Development Reported,O[C@H]1[C@H](O)[C@@H](O)[C@]([H])(O[C@@H]2C(C)(C)[C@@]([C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]4([H])[C@@]56CC[C@@]7(C)[C@@]4(C)C[C@H](O)[C@]7([H])[C@]8(C)O[C@H](C(C)(O)C)CC8)([H])[C@]5(C6)CC2)OC1
splicing,0,0,14,0,"{26477314, 32355831, 34057028, 32814086, 23425895, 32559497, 22128300, 28167572, 33796221, 37098965, 29301749, 34857016, 23868061, 19609950}","{27536004, 9858827, 18513937, 33822745, 32624538, 31747612, 29312415, 26216992, 19301030, 15312679, 9649319, 22570411, 27129259, 35930668, 33792558, 28967088, 36968369, 34031359, 10841781, 15640247, 28069948, 24048450, 21441348, 18480452, 23128391, 33431496, 35426377, 35491403, 36343244, 21608014, 29555663, 31801551, 28783698, 29751762, 34470615, 24231520, 30568163, 34540900, 24065768, 36857449, 19629165, 36711789, 26551281, 31911672, 35636729, 12711674, 34344445, 23287038, 30527999}", ,,#N/A,,,,,,,bax,galangin,HY-L025-74,B04,HY-N0382,Galangin,"Norizalpinin; 3,5,7-Trihydroxyflavone",548-83-4,270.24,Autophagy; Cytochrome P450,Autophagy; Metabolic Enzyme/Protease,Galangin (Norizalpinin) is?an?agonist/antagonist?of the?arylhydrocarbon?receptor. Galangin (Norizalpinin) also shows inhibition of CYP1A1 activity.,C15H10O5,DMSO : 125 mg/mL (462.55 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C1C(O)=C(C2=CC=CC=C2)OC3=CC(O)=CC(O)=C13
antitumor immunity,0,1,14,0,"{35014625, 25416195, 33674596, 33509790, 32807942, 33747719, 33786412, 36158188, 27471630, 32194994, 33747255, 36878969, 36512410, 28837246}","{30182276, 34782346, 34365463, 32928920, 34508829, 28270499, 35953828, 35923111, 29493812, 32196028, 36370878, 33574085, 29670088, 32184777, 28408401, 31063649, 29208683, 27651309, 35618289, 28969075, 34524279}", ,,#N/A,,,,,,,bax,mdivi 1,HY-L025-54,G06,HY-15886,Mdivi-1,Mitochondrial division inhibitor 1,338967-87-6,353.22,Apoptosis; Autophagy; Dynamin; Mitophagy,Apoptosis; Autophagy; Cytoskeleton,Mdivi-1 is a selective dynamin-related protein 1 (Drp1) inhibitor. Mdivi-1 is a mitochondrial division/mitophagy inhibitor.,C15H10Cl2N2O2S,DMSO : 160 mg/mL (452.98 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C1N(C2=C(Cl)C=C(Cl)C(OC)=C2)C(S)=NC3=C1C=CC=C3
pk,0,0,14,0,"{8063617, 30128034, 24831652, 21573703, 9252680, 30106154, 26505547, 35896270, 28449008, 18266003, 35920660, 15003513, 34508795, 31078621}","{31527168, 29657099, 25851940, 35859878, 36077617, 33643826, 33798846, 36709310, 9488450, 27682507, 34543572, 36914652, 28892380, 35816286, 28586718, 33955700, 34648693, 30879350, 28368119, 29541371}", ,,staurosporine,,,,,,,bax,cyclosporin a,HY-L025-68,H08,HY-B0579,Cyclosporin A,Cyclosporine A; Ciclosporin A; CsA,59865-13-3,1202.61,Antibiotic; Complement System; Molecular Glues; Phosphatase,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; PROTAC,Cyclosporin A (Cyclosporine A) is an immunosuppressant which binds to the cyclophilin and inhibits phosphatase activity of calcineurin with an IC50 of 5 nM[3]. Cyclosporin A also inhibits CD11a/CD18 adhesion[8].,C62H111N11O12,Ethanol : 50 mg/mL (41.58 mM; Need ultrasonic); DMSO : 62.5 mg/mL (51.97 mM; Need ultrasonic),10mM,Inflammation/Immunology; Cancer,Launched,C/C=C/C[C@H]([C@@H](O)[C@@]1(N(C)C([C@]([H])(C(C)C)N(C)C([C@H](CC(C)C)N(C)C([C@]([H])(CC(C)C)N(C)C([C@@H](C)NC([C@H](C)NC([C@@H](N(C([C@@]([H])(NC([C@@H](N(C(CN(C([C@@H](NC1=O)CC)=O)C)=O)C)CC(C)C)=O)C(C)C)=O)C)CC(C)C)=O)=O)=O)=O)=O)=O)[H])C
hh,0,0,14,0,"{25024225, 21704226, 22086851, 27758883, 30373214, 30128034, 32571902, 34046348, 17353198, 27573236, 18829525, 20814421, 26257206, 23786654}","{33958721, 34333666, 28593508, 34634662, 31114028, 32380205, 25355313, 33643826, 32913560, 30018745, 31182587}","inhibiting HH bad in PDAC? (32571902), seems good to combine w/ MEK inhibitor (30373214)"," Here, we identify a novel SOX2-BRD4 transcriptional complex driving the expression of GLI1, the final effector of the HH/GLI pathway (33958721); also 34634662",cyclopamine,,,,,,,bax,liquiritin,HY-L025-74,A11,HY-N0376,Liquiritin,,551-15-5,418.39,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB,"Liquiritin, a flavonoid isolated from Glycyrrhiza uralensis, is a potent and competitive AKR1C1 inhibitor with IC50s of 0.62 μM, 0.61 μM, and 3.72μM for AKR1C1, AKR1C2 and AKR1C3, respectively. Liquiritin efficiently inhibits progesterone metabolism mediated by AKR1C1 in vivo[1]. Liquiritin acts as an antioxidant and has neuroprotective, anti-cancer and anti-inflammatory activity[2].",C21H22O9,DMSO : 150 mg/mL (358.52 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic) (insoluble),10mM,Cancer; Inflammation/Immunology; Neurological Disease,No Development Reported,O=C1C[C@@H](C2=CC=C(O[C@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)C=C2)OC4=CC(O)=CC=C14
differentially expressed genes,0,1,13,0,"{26719042, 33505218, 26880586, 32235821, 33110094, 33753999, 23614574, 32660466, 30881497, 18784821, 28105175, 28198009, 33631610}","{33705733, 33412753, 36381331, 32626975, 27142060, 34539188, 34926268, 29568956, 32484798, 16008511, 33947836, 33893325, 32927694, 35685458, 32762714, 12705884, 35699165, 33476703, 31765738, 35349485, 27466232, 26582142}", ,,#N/A,,,,,,,bax,furosemide,HY-L025-66,E10,HY-B0135A,Furosemide (sodium),,41733-55-5,352.73,GABA Receptor; NKCC,Membrane Transporter/Ion Channel; Neuronal Signaling,"Furosemide sodium is a potent and orally active inhibitor of Na+/K+/2Cl-?(NKCC) cotransporter, NKCC1 and NKCC2[1].?Furosemide sodium is also a GABAA?receptors antagonist and displays 100-fold selectivity for?α6-containing receptors than?α1-containing receptors. Furosemide sodium acts as a loop diuretic and used for the study of congestive heart failure, hypertension and edema[2].",C12H10ClN2NaO5S,H2O : 100 mg/mL (283.50 mM; Need ultrasonic); DMSO : ≥ 150 mg/mL (425.25 mM),10mM,Cancer; Metabolic Disease,Launched,O=C(C1=CC(S(=O)(N)=O)=C(C=C1NCC2=CC=CO2)Cl)O[Na]
cell signaling,0,0,13,0,"{25714017, 28259298, 24978597, 24704294, 24878567, 31903112, 26915435, 24130864, 25253202, 28277619, 27087446, 30213082, 29279356}","{29415456, 24533473, 25623136, 28553123, 34160902, 23128391, 32354121, 19005066, 24796395, 36711980, 32582706, 34710325, 29050361, 37119804, 37131839}", ,,#N/A,,,,,,,ap 1,staurosporine,HY-L025-49,F07,HY-15141,Staurosporine,Antibiotic AM-2282; STS; AM-2282,62996-74-1,466.53,Antibiotic; Apoptosis; Bacterial; Fungal; PKA; PKC,Anti-infection; Apoptosis; Epigenetics; Stem Cell/Wnt; TGF-beta/Smad,"Staurosporine is a potent, ATP-competitive and non-selective inhibitor of protein kinases with IC50s of 6 nM, 15 nM, 2 nM, and 3 nM for PKC, PKA, c-Fgr, and Phosphorylase kinase respectively. Staurosporine also inhibits TAOK2 with an IC50 of 3 μM. Staurosporine is an apoptosis inducer[1][2][3][4][5].",C28H26N4O3,DMSO : 62.5 mg/mL (133.97 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C(NC1)C2=C1C3=C(C4=C2C5=C(C=CC=C5)N4[C@H]6C[C@@H](NC)[C@@H](OC)[C@]7(C)O6)N7C8=CC=CC=C83
protein interaction,0,1,13,0,"{26719042, 33505218, 36118824, 16278378, 25387567, 36261459, 30881497, 30594165, 32355831, 37201049, 30278585, 37151998, 35449823}","{31015424, 9699856, 7583761, 36305426, 34754068, 33616410, 34597402, 25758752, 36711980, 22137933, 33867857, 25849938, 28024402, 12032084, 16412250, 26702435, 35650157, 18539634, 37162611, 25974391, 32860796, 28726418, 22136469, 27465367, 24976024, 34982556, 29179037, 12359327, 25323695, 22788793, 27403962, 24623816, 34661079, 28365532, 31931101, 28766941, 11487468, 26358508, 28849908, 10716917, 19038968, 31920381, 23095041, 34995458, 31718149, 33705733, 34579723, 18495759, 24497428, 12198165, 30465816, 31815961, 36656921, 27390756, 35833124, 35371302, 34378541, 34152239, 24403256, 24048450, 28624199, 36378954, 22464331, 36180820, 32805211, 29567837, 28053347, 26552700, 19846528, 31914881, 27219844, 27673482, 22710155, 23752591, 10809234, 32080280, 35052443, 31364510, 29312415, 15994786, 25799074, 26858406, 30833074, 28757943, 27266999, 30387133, 32669118, 22498752, 36304339, 16940503, 25549280, 34073056, 26145250, 28300771, 9858534, 23576556, 26629616, 32149490}", ,,#N/A,,,,,,,ap 1,atorvastatin,HY-L025-57,H04,HY-17379,Atorvastatin (hemicalcium salt),CI-981; Atorvastatin hemicalcium,134523-03-8,577.67,Autophagy; Ferroptosis; HMG-CoA Reductase (HMGCR),Apoptosis; Autophagy; Metabolic Enzyme/Protease,"Atorvastatin hemicalcium salt (CI-981) is an orally active 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase inhibitor, has the ability to effectively decrease blood lipids. Atorvastatin hemicalcium salt inhibits human SV-SMC proliferation and invasion with IC50s of 0.39 μM and 2.39 μM, respectively[1][2][3].",C33H34Ca0.5FN2O5,DMSO : ≥ 50 mg/mL (86.55 mM); H2O : < 0.1 mg/mL (insoluble),10mM,Metabolic Disease; Inflammation/Immunology; Cancer,Launched,FC1=CC=C(C2=C(C3=CC=CC=C3)C(C(NC4=CC=CC=C4)=O)=C(C(C)C)N2CC[C@@H](O)C[C@@H](O)CC([O-])=O)C=C1.[0.5Ca2+]
protein protein interaction,0,1,13,0,"{26719042, 33505218, 36118824, 35707377, 36261459, 30881497, 30594165, 32355831, 37201049, 35449823, 30278585, 37151998, 36116415}","{23095041, 31914881, 34995458, 27219844, 31718149, 33705733, 27673482, 23752591, 9699856, 7583761, 10809234, 28726418, 24497428, 12198165, 22136469, 34754068, 30465816, 32080280, 33616410, 36656921, 35052443, 34982556, 31364510, 12359327, 25758752, 34597402, 15994786, 27390756, 35833124, 26858406, 35371302, 36305426, 36711980, 34378541, 34152239, 30833074, 28757943, 24403256, 22788793, 30387133, 32669118, 22498752, 32860796, 24048450, 36378954, 28024402, 36304339, 12032084, 36180820, 16940503, 16412250, 32805211, 28365532, 31931101, 29567837, 28766941, 25549280, 28053347, 28300771, 11487468, 35650157, 26629616, 37162611, 10716917, 19038968, 26552700, 31920381}", ,,#N/A,,,,,,,ap 1,sr 11302,HY-L025-54,F07,HY-15870,SR 11302,,160162-42-5,376.53,AP-1,Immunology/Inflammation,SR 11302 is an activator protein-1 (AP-1) transcription factor inhibitor. SR 11302 is a retinoid that specifically inhibits AP-1 activity without activating the transcription of retinoic acid response element (RARE)[1].,C26H32O2,DMSO : 25 mg/mL (66.40 mM; ultrasonic and warming and heat to 80°C),10mM,Cancer; Inflammation/Immunology,No Development Reported,O=C(O)/C=C(C)/C=C/C=C(C1=CC=C(C)C=C1)/C=C/C2=C(C)CCCC2(C)C
p akt,0,0,13,0,"{22784710, 27333990, 21799944, 22207048, 30894280, 26497549, 32256815, 26261555, 23561972, 32336215, 28679769, 23232026, 35116637}","{25053825, 34524258, 34591491, 34634662, 35472745, 29954928, 34956562, 36871542, 26663801, 34926269, 28766687}",inhibiting ITGA6 and RPSA weaken invation/metastasis via downregulating p-AKT and p-ERK1/2 (30894280),"Here, we targeted bromodomain 4 (BRD4) in combination with another molecular metabolic tumor driver, the Akt/mTOR signaling pathway, to provide a highly effective treatment for this neoplasm (35472745)",ly294002,,,,,,,ap 1,tsa,HY-L025-49,F10,HY-15144,Trichostatin A,TSA,58880-19-6,302.37,HDAC,Cell Cycle/DNA Damage; Epigenetics,"Trichostatin A (TSA) is a potent and specific inhibitor of HDAC class I/II, with an IC50 value of 1.8 nM for HDAC[1].",C17H22N2O3,DMSO : 25 mg/mL (82.68 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CN(C1=CC=C(C=C1)C([C@@H](/C=C(/C=C/C(NO)=O)C)C)=O)C
cdk,0,0,13,0,"{34001634, 33879459, 26530532, 26416424, 25305448, 35457227, 9841966, 19639215, 37030295, 9641882, 26934555, 37105116, 25931518}","{34633088, 23950209, 21900162, 31727874, 17942543, 32331282, 31067678, 33420321, 27539364, 36711980, 30227759, 28215221, 34062779, 28281917, 26627013, 35681734, 32012890, 31900258, 26254443, 30975979, 30104685, 32412527, 25944566}", ,,ly2835219,,,,,,,ap 1,indomethacin,HY-L025-43,G06,HY-14397A,Indomethacin (sodium hydrate),Indometacin (sodium hydrate),74252-25-8,433.82,Antibiotic; Bacterial; COX; Influenza Virus,Anti-infection; Immunology/Inflammation,"Indomethacin (Indometacin) sodium hydrateis a potent, orally active COX1/2  inhibitor with IC50 values of 18 nM and 26 nM for COX-1 and COX-2, respectively. Indomethacin sodium hydrateis has anticancer activity and anti-infective activity. Indomethacin sodium hydrateis can be used for cancer, inflammation and viral infection research[1][2][3].",C19H21ClNNaO7,DMSO : 12.5 mg/mL (28.81 mM; ultrasonic and warming and heat to 60°C); H2O : 25 mg/mL (57.63 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Launched,O=C(O[Na])CC1=C(C)N(C(C2=CC=C(Cl)C=C2)=O)C3=C1C=C(OC)C=C3.O.O.O
mdm2,0,2,13,0,"{30942624, 16818496, 23340292, 36243652, 19424582, 35131878, 25042889, 33178766, 26228206, 32531376, 24889936, 29153842, 16251039}","{28766886, 35371302, 11331592, 28604107, 34272171, 33154093, 30385614, 17369165, 33431824, 16204849, 32245330, 34875179, 35249548, 36862767, 33844952, 33034426, 31036508, 28766941}",inhibiting MDM2 reactivates TP53 tumor suppressor (36243652),,nutlin 3,,,,,,,ap 1,chrysin,HY-L025-45,F07,HY-14589,Chrysin,"5,7-Dihydroxyflavone",480-40-0,254.24,Estrogen Receptor/ERR,Vitamin D Related/Nuclear Receptor,Chrysin is one of the most well known estrogen blockers.,C15H10O4,DMSO : ≥ 100 mg/mL (393.33 mM),10mM,Cancer,No Development Reported,OC1=C2C(OC(C3=CC=CC=C3)=CC2=O)=CC(O)=C1
repressor,0,0,13,0,"{37116704, 33489473, 28178529, 29315556, 28664456, 31109321, 17114344, 20005451, 26416424, 19362090, 21734707, 26609108, 26716510}","{12489984, 12906115, 16315011, 18406149, 36287107, 31913353, 25606026, 16954381, 30658190, 28684431, 33431824, 28972303, 27865874, 32457617, 28837371, 32462489, 29529243, 31712669, 33732255, 35952671, 30824609, 27903272, 31467179, 11850414, 28525743, 36923952, 20542002, 29439026, 15834423, 16943289, 26910138, 36652476, 20098423, 17023429, 21478341, 28847821, 33344510, 21726812, 32407006, 33547232, 34523489, 32943995, 34540900, 34605158, 29018219, 18488044, 19883376, 35941107, 8626294, 8626295, 34283254, 34125178, 27055867, 33293694, 26289535}", ,,#N/A,,,,,,,p65,puerarin,HY-L025-72,F03,HY-N0145,Puerarin,,3681-99-0,416.38,5-HT Receptor,GPCR/G Protein; Neuronal Signaling,"Puerarin, an isoflavone extracted from Radix puerariae, is a 5-HT2C receptor antagonist.",C21H20O9,DMSO : 50 mg/mL (120.08 mM; Need ultrasonic),10mM,Inflammation/Immunology; Cancer,Launched,O=C1C(C2=CC=C(O)C=C2)=COC3=C([C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(O)=CC=C13
mcl,0,1,13,0,"{35604033, 28160167, 19288493, 35884957, 28765935, 30142009, 19523441, 15956974, 25875797, 37030295, 30214681, 30261145, 35583805}","{28950657, 29709701, 26055303, 28415755, 30305939, 35041430, 31993368, 28663582, 32161312, 35921705, 33154093, 29287727, 34959030, 31882553, 34062779, 29156797, 31653826, 26627013, 35031886, 28024402, 35132755, 35332309, 34557659, 25564254, 33945824, 35261801, 35153769, 26254443, 32156781, 29290992, 29764852, 29914872, 24721791}",Mcl proteins are tumor protective/oncogenic (37030295),,#N/A,,,,,,,p65,costunolide,HY-L025-71,G09,HY-N0036,Costunolide,(+)-Costunolide; Costus lactone,553-21-9,232.32,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"Costunolide ((+)-Costunolide) is a naturally occurring sesquiterpene lactone, with antioxidative, anti-inflammatory, antiallergic, bone remodeling, neuroprotective, hair growth promoting, anticancer, and antidiabetic properties. Costunolide can induce cell cycle arrest and apoptosis on breast cancer cells[1][2][3].",C15H20O2,DMSO : ≥ 49 mg/mL (210.92 mM); Ethanol : 25 mg/mL (107.61 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,No Development Reported,O=C(O[C@@]1([H])[C@@]2([H])CC/C(C)=C/CC/C(C)=C/1)C2=C
ras raf,0,0,12,0,"{10871844, 21723941, 14559813, 26983463, 24847881, 23441129, 19288493, 15316751, 26257206, 15289335, 17569628, 28513565}","{26620707, 24349540, 27496136, 36124682, 33154093, 27158366}", ,,#N/A,,,,,,,p65,dioscin,HY-L025-72,E02,HY-N0124,Dioscin,Collettiside III; CCRIS 4123,19057-60-4,869.04,Apoptosis; Autophagy,Apoptosis; Autophagy,"Dioscin(CCRIS 4123; Collettiside III) is a natural steroid saponin derived from several plants, showing potent anti-cancer effect against a variety of tumor cell lines. 
IC50 value:
Target: Anticancer agent
in vitro: dioscin (1, 2 and 4 μmol/L) could significantly inhibit the viability of LNCaP cells in a time- and concentration-dependent manner. Flow cytometry revealed that the apoptosis rate was increased after treatment of LNCaP cells with dioscin for 24 h, indicating that apoptosis was an important mechanism by which dioscin inhibited cancer [1]. dioscin abrogated AKT phosphorylation, which subsequently impaired RANKL-induced nuclear factor-kappaB (NF-κB) signaling pathway and inhibited NFATc1 transcriptional activity. Moreover, in vivo studies further verified the bone protection activity of dioscin in osteolytic animal model [2]. Dioscin reduced cell death and lactate dehydrogenase (LDH) release in cells subjected to I/R. I/R induced apoptosis and cytochrome c release from mitochondria to the cytosol and this was prevented by dioscin. In support, dioscin decreased Bax but increased Bcl-2 mRNA expression. Dioscin prevented I/R induced dissipation of ΔΨm [3].",C45H72O16,DMSO : ≥ 100 mg/mL (115.07 mM),10mM,Cancer,Launched,O[C@@H]1[C@@H](O)[C@H](C)O[C@@]([H])(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@](O[C@@H]4CC5=CC[C@]([C@]([H])(C[C@@]6([H])[C@]7([H])[C@H](C)[C@]8(OC[C@H](C)CC8)O6)[C@]7(C)CC9)([H])[C@@]9([H])[C@@]5(C)CC4)([H])O[C@@H]2CO)[C@@H]1O
phosphatidylinositol 3 kinase,0,0,12,0,"{26725216, 22462691, 20807812, 14559813, 17974973, 11781836, 17353198, 15313904, 15572689, 15073105, 15289335, 10781373}","{32599680, 32917124, 33596421, 33596424, 34751372, 30134175, 36682147, 30537514, 34875179, 34638508, 32694708, 36891574, 30933440, 26992199, 34688842, 29133261, 24836559, 17178852, 29475942, 33520370, 30136059}", ,,ly294002,,,,,,,p65,budesonide,HY-L025-36,G05,HY-13580,Budesonide,,51333-22-3,430.53,Glucocorticoid Receptor,Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,"Budesonide, an inhaled glucocortical steroid, is an orally active glucocorticoid receptor agonist. Budesonide decreases the size of lung tumors, reverses DNA hypomethylation and modulates mRNA expression of genes. Budesonide is an anti-inflammatory agent used for asthma[1][2][3].",C25H34O6,DMSO : 215 mg/mL (499.38 mM; Need ultrasonic and warming),10mM,Cancer; Inflammation/Immunology,Launched,O=C(C=C[C@@]12C)C=C1CC[C@@]([C@]2([H])[C@@H](O)C[C@@]34C)([H])[C@]3([H])C[C@]5([H])[C@@]4(C(CO)=O)OC(CCC)O5
receptor tyrosine kinases,0,2,12,0,"{31068384, 11034087, 20717927, 23441129, 12622410, 26597578, 31046123, 31492749, 25736685, 28608366, 32796566, 14521721}","{32599680, 31043489, 32393731, 36696581, 30630822, 30537514, 28108460, 31932756, 29792310, 28474232}", ,,sorafenib,,,,,,,p65,pristimerin,HY-L025-78,A07,HY-N1937,Pristimerin,Celastrol methyl ester,1258-84-0,464.64,Bacterial,Anti-infection,Pristimerin is a potent and reversible monoacylglycerol lipase (MGL) inhibitor with an IC50 of 93 nM.,C30H40O4,DMSO : 20 mg/mL (43.04 mM; Need ultrasonic); DMF : 25 mg/mL (53.81 mM; Need ultrasonic),10mM,Cancer,No Development Reported,C[C@](C1=CC=C(C(C)=C2O)C3=CC2=O)(CC[C@]4(C)[C@@]5([H])C[C@@](C(OC)=O)(C)CC4)[C@]5(CC[C@]13C)C
jak2,0,2,12,0,"{26404002, 26530532, 27345450, 26575024, 32583281, 24648112, 27003603, 21586612, 37210549, 26682870, 26227479, 32947833}","{27401345, 36051080, 35015307, 34365463, 32647323, 28042144, 34624676, 24584101, 28336808, 32437546, 34875179, 29088303, 24568369, 36702002, 31621555, 36891574, 36814396, 29907650, 30102854, 34290255, 31036508, 28586718, 22904298, 29914872, 29464061, 23929215}",CMap analysis suggests JAK2 as a target in PDAC (32947833),,sp600125,,,,,,,p65,garcinol,HY-L025-11,H08,HY-107569,Garcinol,,78824-30-3,602.8,Apoptosis; Cholinesterase (ChE); Endogenous Metabolite; Histone Acetyltransferase,Apoptosis; Epigenetics; Metabolic Enzyme/Protease; Neuronal Signaling,"Garcinol, a polyisoprenylated benzophenone harvested from Garcinia indica, exerts anti-cholinesterase properties towards acetyl cholinesterase (AChE) and butyrylcholinesterase (BChE) with IC50s of 0.66 μM and 7.39 μM, respectively[1]. Garcinol also inhibits histone acetyltransferases (HATs, IC50= 7 μM) and p300/CPB-associated factor (PCAF, IC50 = 5 μM). Garcinol has anti-inflammatory and anti-cancer activity[2].",C38H50O6,DMSO : 50 mg/mL (82.95 mM; Need ultrasonic); Ethanol : 20 mg/mL (33.18 mM; Need ultrasonic and warming),10mM,Cancer; Inflammation/Immunology,No Development Reported,C/C(C)=C\C[C@@H](C[C@]12C([C@](C(C)([C@@H](C2)C/C=C(C)\C)C)(C/C=C(C)\C)C(C(C(C3=CC(O)=C(C=C3)O)=O)=C1O)=O)=O)C(C)=C
