a_count	a_term	ab_count	ab_pmid_intersection	ab_pred_score	ab_pvalue	ab_sort_ratio	b_count	b_term	total_count
339882	Breast Cancer	1113	[25524798, 27959613, 26030518, 26947331, 27030077, 26658964, 27269946, 30345905, 27217461, 25501126, 25941111, 27017286, 26324739, 30206110, 29497091, 28174091, 24795392, 28270497, 26857361, 29236940, 28580868, 28653662, 26149830, 27368881, 30508677, 30914635, 30807234, 27849562, 28606920, 28249908, 26923330, 30632023, 30478914, 26995305, 27349747, 25991817, 32145796, 26631614, 28741274, 30631751, 27029704, 28438180, 25876993, 29326029, 27407089, 27883943, 28652278, 30531871, 26251289, 27634906, 38233376, 38231469, 38231045, 38225243, 38198366, 38184023, 38174170, 38166784, 38162489, 38160008, 38110309, 38110163, 38107828, 38102891, 38073115, 38061288, 38046373, 38030174, 38019116, 38017459, 38003483, 38000218, 37995303, 37974598, 37967656, 37958441, 37958338, 37958308, 37955764, 37954071, 37943359, 37927591, 37924380, 37921755, 37921419, 37916267, 37903899, 37899576, 37896189, 37895916, 37895811, 37893081, 37886470, 37882974, 37881502, 37875670, 37862832, 37841752, 37841423, 37838584]	2.0	0.0	0.6589698046181173	1689	palbociclib	36691282
339882	Breast Cancer	9	[32223669, 33753456, 32282173, 33629601, 34077236, 36780610, 36268293, 36360302, 35909271]	1.046488760923481	9.641180677938861e-16	0.6428571428571429	14	fam-trastuzumab deruxtecan-nxki	36691282
339882	Breast Cancer	1814	[17192538, 23020162, 18445819, 19010901, 22257673, 19346299, 19786658, 16452222, 24269963, 20124187, 17440164, 22124364, 18188694, 23220880, 24794243, 15955900, 19228746, 23122784, 24793816, 17699871, 22689807, 19204209, 19010894, 26253814, 19671800, 19884552, 18955454, 21385943, 18421051, 26181252, 20730488, 24742739, 22257523, 22003071, 19060928, 20130423, 21465472, 16682622, 25130998, 19276373, 15684311, 18458039, 24967516, 21342044, 21368164, 18803986, 22493419, 22294718, 28526536, 20501798, 38231469, 38215256, 38212449, 38206277, 38203393, 38175595, 38166612, 38155921, 38152647, 38147816, 38145113, 38117494, 38116646, 38116315, 38099460, 38070658, 38000249, 37991016, 37959874, 37923752, 37878202, 37863404, 37842056, 37792675, 37788138, 37754131, 37715853, 37691011, 37687164, 37686651, 37672800, 37654845, 37621688, 37602329, 37589217, 37575061, 37558607, 37507543, 37506981, 37433350, 37422644, 37378696, 37370010, 37343647, 37333166, 37302750, 37240498, 37196833, 37195235, 37190205]	2.0	0.0	0.6056761268781302	2995	lapatinib ditosylate	36691282
339882	Breast Cancer	203	[31091374, 27126994, 29401002, 26793003, 28249908, 30543347, 30880072, 31256368, 31859349, 31494037, 29850984, 33246021, 30723140, 31828441, 32404150, 31859350, 32953006, 31911865, 26830312, 31371343, 32416251, 30542378, 32795346, 31928690, 31852484, 33168657, 29284706, 33794206, 28852212, 32252811, 32782489, 34127844, 31780379, 32923889, 33190190, 31101835, 32718997, 32255704, 33774181, 32066498, 30651399, 32869930, 33602685, 33842357, 32591580, 31552290, 31130321, 32637176, 32958261, 32887722, 38176377, 38164185, 38148302, 38142701, 38089455, 38033642, 38011835, 37975961, 37965451, 37916958, 37835582, 37761256, 37745587, 37743730, 37725704, 37566008, 37530184, 37511178, 37469415, 37398114, 37348428, 37166793, 37163178, 37086897, 37086483, 37044095, 37026492, 36998707, 36970726, 36943382, 36922682, 36913051, 36901954, 36900375, 36863843, 36825198, 36825100, 36759982, 36641927, 36612130, 36611120, 36579519, 36539444, 36481616, 36428975, 36409396, 36387506, 36343340, 36338738, 36330532]	2.0	0.0	0.5670391061452514	358	alpelisib	36691282
339882	Breast Cancer	393	[14576841, 8402624, 11134190, 10375015, 8350365, 7595707, 16515478, 10874566, 12648026, 8636753, 9790548, 18279543, 7590484, 8426212, 10650964, 10353293, 9543133, 9052418, 2968265, 17030543, 11032589, 12533678, 14687597, 21613412, 9231932, 24373794, 8523053, 8518408, 8204106, 10573106, 10649966, 17503894, 9386869, 8695256, 24520056, 10728710, 15550579, 12098608, 11457665, 9440763, 10606426, 9270018, 9334816, 15691633, 8407000, 25936229, 2136809, 11261827, 1835818, 1680817, 38191454, 38185807, 38172886, 37881502, 37591782, 37170977, 37081843, 37036530, 36720619, 36508355, 36443538, 36229870, 35984107, 35546505, 34957551, 34777802, 34720925, 34577625, 34404078, 34246237, 34225017, 34196110, 33751406, 33217593, 32918178, 32677982, 32548453, 32545494, 32099680, 31942587, 31914031, 31769341, 31550733, 31149426, 30734152, 30587728, 29978573, 29901634, 29900024, 29720397, 29707743, 29359539, 29196963, 28755088, 28671087, 28536342, 28028261, 27935770, 27760945, 27306814]	2.0	0.0	0.5511921458625526	713	toremifene	36691282
339882	Breast Cancer	40	[31841354, 32035020, 32919527, 30860573, 30860570, 32294525, 32312891, 30595753, 33377972, 31836609, 32563561, 33995085, 32847835, 33863913, 32220884, 32713217, 33755436, 32359498, 32359497, 32359499, 37596288, 37093249, 36519303, 37725704, 37543694, 37256976, 37323538, 37046675, 36110891, 36508589, 36901954, 38216005, 32035019, 36241868, 37803350, 35671774, 37726304, 35398754, 37449963, 35026293]	1.1828369095901774	8.783714319096865e-60	0.5128205128205128	78	capivasertib	36691282
339882	Breast Cancer	158	[30110579, 32029455, 30518089, 26652717, 32243226, 30116283, 31754897, 31461380, 26546619, 30563931, 30124753, 29615458, 30506138, 31625002, 29644491, 32828825, 29660759, 32215876, 28069724, 29093017, 31732654, 29238749, 32235451, 30542378, 31099663, 31303769, 28232952, 30912451, 28958991, 33710534, 31534547, 32162822, 30806045, 32717529, 31155832, 32195033, 28316110, 30255456, 31776133, 30067621, 31650727, 29158830, 32471249, 32158196, 30181424, 28893315, 32337496, 30359909, 32276934, 30860347, 38199587, 38076873, 38041540, 38010394, 38002066, 37978072, 37927769, 37803017, 37793275, 37645906, 37637237, 37633047, 37392863, 37318349, 37246120, 37228496, 37213307, 37154583, 37129747, 37023220, 36952230, 36941406, 36598514, 36555812, 36520958, 36454738, 36430819, 36405946, 36394849, 36379199, 36288893, 36253484, 36202026, 36199494, 36145297, 36074101, 36045677, 35998294, 35907135, 35750582, 35736816, 35693379, 35670707, 35636395, 35607887, 35538088, 35367197, 35343197, 35281113, 35226219]	1.6437651914523157	1.158358956220972e-208	0.398989898989899	396	talazoparib tosylate	36691282
339882	Breast Cancer	622	[20609467, 28578601, 25366685, 21862407, 22915752, 22915751, 21161370, 31015319, 29202431, 24789362, 24063698, 26779812, 30589644, 20956982, 23810467, 30689707, 32029455, 27993796, 24827126, 19589159, 25888415, 21504625, 27381626, 23012300, 30518089, 28536297, 30880072, 30377213, 26100884, 22933245, 32243226, 24252502, 29867226, 29890363, 32771088, 30116283, 20145144, 30023007, 25634209, 20008842, 31754897, 34081848, 33119476, 23315029, 31191001, 32122376, 22145984, 22875744, 29096610, 31625002, 38236575, 38234395, 38184505, 38170520, 38161892, 38157332, 38136266, 38112922, 38112006, 38093030, 38067284, 38041540, 38039793, 38038966, 38001424, 37983586, 37978132, 37978072, 37953246, 37941492, 37932806, 37927769, 37916183, 37907567, 37902934, 37901361, 37893423, 37864041, 37861290, 37842857, 37837671, 37836815, 37818839, 37808196, 37773077, 37764300, 37747062, 37720496, 37716861, 37713444, 37692183, 37637230, 37623037, 37615686, 37610374, 37605274, 37601649, 37592269, 37587695, 37582853]	1.9066634004446887	0.0	0.2364120106423413	2631	olaparib	36691282
339882	Breast Cancer	721	[22149876, 19346299, 18829560, 22565002, 19380449, 25231953, 24158787, 27217461, 24742739, 23377372, 16033851, 17047067, 27532364, 19687332, 23233719, 19860903, 26092818, 21730275, 20975068, 21358673, 26503204, 16731750, 18039566, 20145128, 26779371, 21107682, 27091708, 28314691, 25223482, 24615500, 16443261, 27893038, 29664714, 23988612, 29284708, 24267730, 26011489, 21876693, 23744866, 27883943, 22703543, 23625614, 22593441, 19127256, 24669015, 22764762, 23504821, 28270607, 28183140, 24957076, 38221652, 38211606, 38182687, 38123789, 38089455, 38084165, 38011835, 37936567, 37909948, 37893593, 37881502, 37772709, 37768209, 37739323, 37725704, 37696110, 37655108, 37644890, 37642941, 37545622, 37484811, 37481672, 37477145, 37444541, 37308971, 37264081, 37260292, 37257766, 37198674, 37183684, 37170083, 37166793, 37096065, 37046675, 37026492, 36993871, 36979714, 36900375, 36889574, 36863843, 36831532, 36823129, 36816969, 36765293, 36735117, 36696853, 36691572, 36611120, 36539444, 36531067]	1.3250206058856673	0.0	0.0921641314073884	7823	everolimus	36691282
339882	Breast Cancer	302	[27138582, 32101663, 30475950, 30475947, 28801472, 33278935, 25856776, 30765258, 31194228, 32053137, 29146734, 29559561, 31194225, 27081325, 32278621, 25979549, 32067680, 29881714, 28346916, 29255938, 31747077, 33676601, 28205193, 28649648, 27900363, 31563517, 34219000, 28963773, 31036756, 32873927, 29214031, 32681091, 32880602, 32042863, 31160077, 32483359, 32113750, 32870473, 33015734, 30661652, 32060053, 29468855, 29020960, 33727258, 33443105, 31773720, 30287596, 29209571, 31907878, 32319232, 38213539, 38212119, 38206502, 38198112, 38194915, 38194911, 38188483, 38186558, 38161548, 38117852, 38116189, 38111580, 38103870, 38070159, 38059185, 38025838, 38023719, 38007758, 37999854, 37991778, 37976633, 37973647, 37966841, 37963636, 37900847, 37900813, 37882661, 37835376, 37817263, 37771270, 37754495, 37747062, 37644916, 37643636, 37641116, 37623037, 37621170, 37612624, 37606858, 37597245, 37595344, 37568813, 37533427, 37507543, 37491309, 37488704, 37432550, 37430006, 37397537, 37390206]	0.393053927306571	8.172524020780278e-87	0.0369418960244648	8175	pembrolizumab	36691282
