C_term	B_term	Prediction Score	FET p value	ratio	B_term count	C_term count	B_C_counts	db total
CIMETIDINE	sex	0.07364	9.62905e-09	0.01442	73023	6866	99	9451155
CIMETIDINE	pathogenesis	0.06383	2.67047e-08	0.01194	57792	6866	82	9451155
CIMETIDINE	cell activity	0.06135	8.68940e-16	0.00437	6028	6866	30	9451155
CIMETIDINE	inflammation	0.05206	1.90342e-09	0.00743	26813	6866	51	9451155
CIMETIDINE	mucosal healing	0.03305	1.30166e-10	0.00073	40	6866	5	9451155
CIMETIDINE	suppressor cell function	0.02970	3.25961e-09	0.00102	296	6866	7	9451155
CIMETIDINE	mucosal permeability	0.02043	1.55907e-06	0.00073	257	6866	5	9451155
POLIDOCANOL	bleeding	1.29359	1.48542e-95	0.48544	30415	103	50	9451155
ESTROGENS	sex	1.27185	0.00000	0.07769	73023	7813	607	9451155
ESTROGENS	bleeding	0.14939	5.22382e-34	0.01370	30415	7813	107	9451155
ESTROGENS	diet	0.09120	1.19877e-14	0.01421	58989	7813	111	9451155
ESTROGENS	enterohepatic circulation	0.05601	1.36114e-16	0.00205	883	7813	16	9451155
COPPER	absorption	1.27020	0.00000	0.07724	63595	17712	1368	9451155
COPPER	diet	1.17710	0.00000	0.05132	58989	17712	909	9451155
COPPER	nutrition	0.24657	5.52197e-67	0.01225	27262	17712	217	9451155
COPPER	nutritional status	0.15728	8.46586e-47	0.00435	4453	17712	77	9451155
COPPER	inflammation	0.11805	1.10232e-29	0.00841	26813	17712	149	9451155
COPPER	bleeding	0.08153	9.42505e-19	0.00762	30415	17712	135	9451155
COPPER	acute phase response	0.04507	3.04895e-14	0.00096	665	17712	17	9451155
COPPER	inflammatory activity	0.03585	3.84718e-11	0.00107	1368	17712	19	9451155
COPPER	inflammatory process	0.02510	1.14069e-07	0.00107	2257	17712	19	9451155
COPPER	disease activity	0.02219	1.52617e-06	0.00124	3493	17712	22	9451155
COPPER	faecal excretion	0.02071	6.32701e-07	0.00045	367	17712	8	9451155
COPPER	chronic inflammation	0.01859	7.12859e-06	0.00079	1716	17712	14	9451155
FERRIC	absorption	1.25941	1.22733e-283	0.10783	63595	3181	343	9451155
FERRIC	diet	0.08542	4.47114e-10	0.01666	58989	3181	53	9451155
ESTRONE	sex	1.24723	1.93595e-273	0.11296	73023	3063	346	9451155
ESTRONE	diet	0.07705	1.82713e-08	0.01567	58989	3063	48	9451155
ESTRONE	bleeding	0.05138	5.41120e-07	0.00947	30415	3063	29	9451155
ESTRONE	enterohepatic circulation	0.04266	2.61039e-11	0.00294	883	3063	9	9451155
TOCOPHEROL	diet	1.24121	9.75541e-290	0.09793	58989	3625	355	9451155
TOCOPHEROL	absorption	0.27318	6.21531e-50	0.03531	63595	3625	128	9451155
TOCOPHEROL	nutritional status	0.11896	1.59750e-29	0.00883	4453	3625	32	9451155
TOCOPHEROL	nutrition	0.11833	2.38401e-22	0.01517	27262	3625	55	9451155
TOCOPHEROL	pathogenesis	0.07792	2.69151e-09	0.01517	57792	3625	55	9451155
ASPIRIN	bleeding	1.23504	0.00000	0.06754	30415	9743	658	9451155
ASPIRIN	inflammation	0.42093	1.42703e-112	0.02196	26813	9743	214	9451155
ASPIRIN	inflammatory activity	0.25592	1.43782e-76	0.00626	1368	9743	61	9451155
ASPIRIN	pathogenesis	0.24130	1.49151e-54	0.02196	57792	9743	214	9451155
ASPIRIN	absorption	0.23354	2.30631e-51	0.02258	63595	9743	220	9451155
ASPIRIN	healing	0.20239	2.74106e-51	0.01355	24294	9743	132	9451155
ASPIRIN	sex	0.09228	6.51905e-14	0.01519	73023	9743	148	9451155
ASPIRIN	diet	0.08760	1.50242e-14	0.01324	58989	9743	129	9451155
ASPIRIN	mucosal permeability	0.05877	2.93621e-18	0.00133	257	9743	13	9451155
ASPIRIN	disease activity	0.03677	2.91649e-10	0.00216	3493	9743	21	9451155
ASPIRIN	inflammatory process	0.02029	6.08335e-06	0.00123	2257	9743	12	9451155
ASPIRIN	enterohepatic circulation	0.01915	5.08729e-06	0.00082	883	9743	8	9451155
Nitrogen	diet	1.23091	0.00000	0.06639	58989	33138	2200	9451155
Nitrogen	nutrition	1.12114	0.00000	0.03540	27262	33138	1173	9451155
Nitrogen	absorption	1.02952	4.15489e-301	0.02918	63595	33138	967	9451155
Nitrogen	weight loss	0.57864	5.95949e-178	0.00887	8807	33138	294	9451155
Nitrogen	nutritional status	0.52355	9.11430e-163	0.00649	4453	33138	215	9451155
Nitrogen	linear growth	0.06368	2.23518e-20	0.00084	709	33138	28	9451155
Nitrogen	oral intake	0.05215	9.40985e-17	0.00075	743	33138	25	9451155
Nitrogen	faecal excretion	0.04679	2.98947e-15	0.00054	367	33138	18	9451155
MAGNESIUM	absorption	1.19541	0.00000	0.05647	63595	18309	1034	9451155
MAGNESIUM	diet	1.18744	0.00000	0.05424	58989	18309	993	9451155
MAGNESIUM	nutrition	0.22522	6.91330e-61	0.01152	27262	18309	211	9451155
MAGNESIUM	nutritional status	0.08085	9.43230e-24	0.00284	4453	18309	52	9451155
MAGNESIUM	sex	0.06787	1.21260e-09	0.01191	73023	18309	218	9451155
MAGNESIUM	pathogenesis	0.05301	1.16133e-07	0.00934	57792	18309	171	9451155
MAGNESIUM	weight loss	0.02272	8.24719e-06	0.00208	8807	18309	38	9451155
MAGNESIUM	faecal excretion	0.01685	9.35789e-06	0.00038	367	18309	7	9451155
PROGESTERONE	sex	1.19473	0.00000	0.05628	73023	26295	1480	9451155
PROGESTERONE	bleeding	0.42609	1.36621e-122	0.01441	30415	26295	379	9451155
ACARBOSE	diet	1.19198	9.78228e-63	0.28144	58989	167	47	9451155
ACARBOSE	absorption	0.88502	2.00544e-39	0.20359	63595	167	34	9451155
UREA	diet	1.18584	0.00000	0.05379	58989	21771	1171	9451155
UREA	absorption	0.52974	3.73352e-144	0.02517	63595	21771	548	9451155
UREA	nutrition	0.32376	3.38722e-91	0.01291	27262	21771	281	9451155
UREA	nutritional status	0.20339	1.79472e-61	0.00455	4453	21771	99	9451155
UREA	weight loss	0.17658	9.26052e-52	0.00551	8807	21771	120	9451155
UREA	sex	0.06509	2.91751e-09	0.01144	73023	21771	249	9451155
UREA	mucosal permeability	0.03398	3.74806e-11	0.00051	257	21771	11	9451155
ETHANOLAMINE OLEATE	bleeding	1.18246	1.16204e-59	0.39286	30415	84	33	9451155
LH)	sex	1.17400	0.00000	0.05045	73023	20814	1050	9451155
LH)	bleeding	0.19822	6.73645e-53	0.01086	30415	20814	226	9451155
LH)	weight loss	0.12128	6.19661e-35	0.00456	8807	20814	95	9451155
LH)	linear growth	0.03308	1.25503e-10	0.00072	709	20814	15	9451155
HEPARIN	bleeding	1.16992	0.00000	0.04929	30415	21625	1066	9451155
HEPARIN	pathogenesis	0.09228	2.89984e-18	0.01124	57792	21625	243	9451155
HEPARIN	healing	0.04641	2.79972e-10	0.00499	24294	21625	108	9451155
HEPARIN	inflammation	0.03597	4.13492e-07	0.00481	26813	21625	104	9451155
NIACIN	diet	1.15017	2.58716e-184	0.15893	58989	1120	178	9451155
NIACIN	nutrition	0.37206	4.82370e-58	0.05625	27262	1120	63	9451155
NIACIN	nutritional status	0.16818	1.56933e-31	0.02143	4453	1120	24	9451155
ALCOHOL	sex	1.14150	0.00000	0.04122	73023	41848	1725	9451155
ALCOHOL	diet	1.11056	0.00000	0.03236	58989	41848	1354	9451155
ALCOHOL	absorption	0.36755	5.34782e-101	0.01685	63595	41848	705	9451155
ALCOHOL	nutrition	0.27378	2.79051e-79	0.00906	27262	41848	379	9451155
ALCOHOL	nutritional status	0.12353	4.98200e-38	0.00239	4453	41848	100	9451155
ALCOHOL	pathogenesis	0.10095	2.82269e-22	0.01013	57792	41848	424	9451155
ALCOHOL	weight loss	0.06806	6.62438e-20	0.00258	8807	41848	108	9451155
ALCOHOL	bleeding	0.06755	2.51346e-16	0.00571	30415	41848	239	9451155
ALCOHOL	healing	0.03790	1.50504e-08	0.00406	24294	41848	170	9451155
ALCOHOL	oral intake	0.02840	2.08663e-09	0.00045	743	41848	19	9451155
ENOXAPARIN	bleeding	1.14064	3.73173e-46	0.36111	30415	72	26	9451155
CALCIUM	absorption	1.13085	0.00000	0.03818	63595	97145	3709	9451155
CALCIUM	diet	1.11911	0.00000	0.03481	58989	97145	3382	9451155
CALCIUM	pathogenesis	0.36753	5.17839e-106	0.01229	57792	97145	1194	9451155
CALCIUM	nutrition	0.23514	9.99531e-70	0.00638	27262	97145	620	9451155
CALCIUM	nutritional status	0.10533	4.19047e-33	0.00151	4453	97145	147	9451155
CALCIUM	inflammation	0.08213	3.17754e-22	0.00462	26813	97145	449	9451155
CALCIUM	healing	0.06524	2.13413e-17	0.00405	24294	97145	393	9451155
CALCIUM	sex	0.05216	1.54616e-07	0.00920	73023	97145	894	9451155
CALCIUM	faecal excretion	0.04263	3.32452e-14	0.00027	367	97145	26	9451155
CALCIUM	intestinal function	0.02779	1.81960e-09	0.00022	396	97145	21	9451155
CALCIUM	weight loss	0.02513	2.95092e-07	0.00146	8807	97145	142	9451155
CALCIUM	oral intake	0.02060	4.23697e-07	0.00026	743	97145	25	9451155
CALCIUM	linear growth	0.01831	2.19571e-06	0.00024	709	97145	23	9451155
NIZATIDINE	healing	1.12553	6.32671e-52	0.25000	24294	124	31	9451155
NIZATIDINE	absorption	0.24163	2.31331e-06	0.06452	63595	124	8	9451155
AMINO ACIDS	diet	1.12089	0.00000	0.03533	58989	51464	1818	9451155
AMINO ACIDS	nutrition	1.06310	0.00000	0.01860	27262	51464	957	9451155
AMINO ACIDS	absorption	0.85160	1.62537e-251	0.02211	63595	51464	1138	9451155
AMINO ACIDS	nutritional status	0.14732	9.80100e-46	0.00237	4453	51464	122	9451155
AMINO ACIDS	weight loss	0.02896	3.51002e-08	0.00175	8807	51464	90	9451155
AMINO ACIDS	oral intake	0.01946	1.18121e-06	0.00033	743	51464	17	9451155
SODIUM	diet	1.11676	0.00000	0.03414	58989	114059	3894	9451155
SODIUM	absorption	1.11219	0.00000	0.03283	63595	114059	3744	9451155
SODIUM	weight loss	0.19701	2.32769e-61	0.00276	8807	114059	315	9451155
SODIUM	pathogenesis	0.10953	1.30093e-26	0.00871	57792	114059	993	9451155
SODIUM	mucosal permeability	0.07844	9.96880e-26	0.00031	257	114059	35	9451155
SODIUM	inflammation	0.05851	4.02775e-15	0.00414	26813	114059	472	9451155
SODIUM	inflammatory activity	0.05010	2.40312e-16	0.00052	1368	114059	59	9451155
SODIUM	faecal excretion	0.04283	2.70102e-14	0.00025	367	114059	28	9451155
SODIUM	enterohepatic circulation	0.03498	1.18398e-11	0.00034	883	114059	39	9451155
SODIUM	intestinal permeability	0.02114	2.35278e-07	0.00018	450	114059	21	9451155
SODIUM	intestinal function	0.01989	5.69310e-07	0.00017	396	114059	19	9451155
SODIUM	oral intake	0.01981	7.24463e-07	0.00024	743	114059	27	9451155
POTASSIUM	diet	1.10733	0.00000	0.03143	58989	45344	1425	9451155
POTASSIUM	absorption	1.03736	9.38356e-308	0.02549	63595	45344	1156	9451155
POTASSIUM	weight loss	0.16685	1.62365e-50	0.00377	8807	45344	171	9451155
POTASSIUM	nutrition	0.09050	1.03058e-23	0.00573	27262	45344	260	9451155
POTASSIUM	nutritional status	0.03366	2.94990e-10	0.00124	4453	45344	56	9451155
POTASSIUM	faecal excretion	0.02973	5.69417e-10	0.00033	367	45344	15	9451155
FAMOTIDINE	healing	1.09399	7.57752e-138	0.18058	24294	515	93	9451155
FAMOTIDINE	bleeding	0.16884	1.89429e-14	0.03689	30415	515	19	9451155
FAMOTIDINE	absorption	0.11631	3.35207e-06	0.02913	63595	515	15	9451155
FAMOTIDINE	mucosal healing	0.03053	2.30833e-06	0.00388	40	515	2	9451155
ALPHA-TOCOPHEROL	diet	1.08663	1.67362e-233	0.10315	58989	2695	278	9451155
ALPHA-TOCOPHEROL	absorption	0.23438	1.81583e-37	0.03525	63595	2695	95	9451155
ALPHA-TOCOPHEROL	nutrition	0.09526	1.14143e-15	0.01447	27262	2695	39	9451155
ALPHA-TOCOPHEROL	pathogenesis	0.08513	1.56274e-09	0.01707	57792	2695	46	9451155
ALPHA-TOCOPHEROL	nutritional status	0.08234	7.87294e-19	0.00779	4453	2695	21	9451155
HISTAMINE	inflammation	1.08047	0.00000	0.02365	26813	27226	644	9451155
HISTAMINE	pathogenesis	0.30676	4.15800e-81	0.01708	57792	27226	465	9451155
HISTAMINE	healing	0.15012	6.87722e-41	0.00764	24294	27226	208	9451155
HISTAMINE	inflammatory activity	0.08866	9.99531e-28	0.00151	1368	27226	41	9451155
HISTAMINE	inflammatory process	0.06944	1.94068e-21	0.00158	2257	27226	43	9451155
HISTAMINE	mucosal permeability	0.05563	5.11343e-18	0.00062	257	27226	17	9451155
HISTAMINE	cell activity	0.04508	4.31391e-13	0.00202	6028	27226	55	9451155
HISTAMINE	suppressor cell function	0.04409	2.27881e-14	0.00055	296	27226	15	9451155
HISTAMINE	chronic inflammation	0.03156	5.81269e-10	0.00088	1716	27226	24	9451155
TERLIPRESSIN	bleeding	1.06090	2.13437e-20	0.50000	30415	20	10	9451155
CLOFIBRATE	diet	1.06041	2.75260e-204	0.12013	58989	1873	225	9451155
LANSOPRAZOLE	healing	1.05710	3.60415e-19	0.33333	24294	30	10	9451155
MANGANESE	absorption	1.05646	1.07007e-260	0.07212	63595	5505	397	9451155
MANGANESE	diet	0.56136	1.49695e-130	0.04632	58989	5505	255	9451155
MANGANESE	nutrition	0.13860	8.42631e-30	0.01435	27262	5505	79	9451155
MANGANESE	faecal excretion	0.02014	3.03230e-06	0.00091	367	5505	5	9451155
LEVONORGESTREL	bleeding	1.03373	9.06202e-146	0.15965	30415	689	110	9451155
LEVONORGESTREL	sex	0.56026	2.48500e-58	0.10740	73023	689	74	9451155
MIGLITOL	absorption	1.03150	6.68423e-11	0.33333	63595	21	7	9451155
FERRIC MALTOL	absorption	1.03122	8.22871e-11	0.83333	63595	6	5	9451155
HALOBETASOL PROPIONATE	healing	1.03049	1.41914e-10	0.38462	24294	13	5	9451155
HEPTAHYDRATE	diet	1.02247	5.50498e-08	0.29412	58989	17	5	9451155
FLUDEOXYGLUCOSE F-18	sex	1.01788	1.67860e-06	0.33333	73023	12	4	9451155
BETA CAROTENE	diet	1.01776	4.67764e-182	0.12695	58989	1536	195	9451155
BETA CAROTENE	absorption	0.35413	4.71552e-51	0.05729	63595	1536	88	9451155
BETA CAROTENE	sex	0.13179	1.81475e-12	0.02799	73023	1536	43	9451155
BETA CAROTENE	nutrition	0.12746	2.57947e-18	0.02148	27262	1536	33	9451155
BETA CAROTENE	nutritional status	0.07174	5.87937e-14	0.00911	4453	1536	14	9451155
BROMFENAC	inflammation	1.01724	2.69925e-06	0.30000	26813	10	3	9451155
BROMFENAC	inflammatory activity	0.76873	9.41375e-07	0.20000	1368	10	2	9451155
ASCORBIC ACID	diet	1.01665	8.64258e-271	0.05229	58989	9313	487	9451155
ASCORBIC ACID	absorption	0.42455	1.15102e-102	0.03189	63595	9313	297	9451155
ASCORBIC ACID	nutritional status	0.25365	4.72654e-73	0.00880	4453	9313	82	9451155
ASCORBIC ACID	nutrition	0.22032	3.30652e-55	0.01525	27262	9313	142	9451155
ASCORBIC ACID	healing	0.06099	1.05170e-12	0.00709	24294	9313	66	9451155
ASCORBIC ACID	bile acid metabolism	0.01849	5.35241e-06	0.00064	429	9313	6	9451155
SULFAMETER	absorption	1.01617	6.00115e-06	0.50000	63595	6	3	9451155
POLYETHYLENE GLYCOL 3350	intestinal permeability	0.69592	1.24374e-07	0.18182	450	11	2	9451155
ALTEPLASE	bleeding	1.00828	5.47035e-36	0.23469	30415	98	23	9451155
DEXTROSE	nutrition	1.00433	1.04740e-235	0.07906	27262	2846	225	9451155
DEXTROSE	diet	0.43497	3.06052e-83	0.05200	58989	2846	148	9451155
DEXTROSE	absorption	0.13866	7.24082e-19	0.02424	63595	2846	69	9451155
DEXTROSE	nutritional status	0.05111	1.69115e-11	0.00527	4453	2846	15	9451155
DEXTROSE	weight loss	0.05009	5.11118e-10	0.00632	8807	2846	18	9451155
DEXTROSE	oral intake	0.03414	4.42922e-09	0.00246	743	2846	7	9451155
ALUMINUM	absorption	0.99683	3.31160e-246	0.06803	63595	5718	389	9451155
ALUMINUM	diet	0.14954	8.93814e-27	0.02029	58989	5718	116	9451155
ALUMINUM	healing	0.12090	3.26328e-26	0.01242	24294	5718	71	9451155
ALUMINUM	pathogenesis	0.09586	1.17463e-14	0.01556	57792	5718	89	9451155
ALUMINUM	bleeding	0.06575	1.16217e-11	0.00944	30415	5718	54	9451155
ALUMINUM	nutrition	0.04838	3.70920e-08	0.00752	27262	5718	43	9451155
DIVALPROEX	absorption	0.98391	3.49696e-06	0.25000	63595	16	4	9451155
AMILORIDE	absorption	0.97742	2.57890e-224	0.08134	63595	3897	317	9451155
AMILORIDE	diet	0.11484	1.01655e-16	0.01925	58989	3897	75	9451155
LIPASE	diet	0.97695	3.63239e-256	0.05386	58989	8373	451	9451155
LIPASE	absorption	0.24151	4.35399e-52	0.02424	63595	8373	203	9451155
LIPASE	weight loss	0.08069	8.30355e-21	0.00549	8807	8373	46	9451155
LIPASE	pathogenesis	0.07806	5.62354e-12	0.01278	57792	8373	107	9451155
LIPASE	nutrition	0.04796	8.42469e-09	0.00681	27262	8373	57	9451155
LIPASE	nutritional status	0.02313	4.02967e-06	0.00191	4453	8373	16	9451155
PROBUCOL	diet	0.97164	6.51798e-88	0.18841	58989	414	78	9451155
THEOPHYLLINE	absorption	0.96579	8.92905e-256	0.05106	63595	9675	494	9451155
THEOPHYLLINE	inflammation	0.03532	4.65030e-06	0.00558	26813	9675	54	9451155
THEOPHYLLINE	cell activity	0.03126	3.97213e-08	0.00248	6028	9675	24	9451155
DESOGESTREL	sex	0.96049	4.95157e-53	0.21145	73023	227	48	9451155
DESOGESTREL	bleeding	0.57086	1.03245e-36	0.12775	30415	227	29	9451155
WARFARIN	bleeding	0.94261	4.95967e-218	0.07714	30415	2852	220	9451155
WARFARIN	absorption	0.14432	5.69551e-20	0.02489	63595	2852	71	9451155
RIBOFLAVIN	diet	0.93400	4.58020e-209	0.08238	58989	3411	281	9451155
RIBOFLAVIN	nutritional status	0.65952	3.37485e-175	0.03489	4453	3411	119	9451155
RIBOFLAVIN	nutrition	0.34773	8.55162e-77	0.03283	27262	3411	112	9451155
RIBOFLAVIN	absorption	0.29986	4.61044e-55	0.03841	63595	3411	131	9451155
MACROCRYSTALLINE	absorption	0.91829	4.54839e-06	0.23529	63595	17	4	9451155
FERROUS FUMARATE	absorption	0.91690	4.99231e-12	0.23077	63595	39	9	9451155
ESTERIFIED	diet	0.89690	4.18062e-202	0.07812	58989	3584	280	9451155
ESTERIFIED	absorption	0.30605	2.89762e-57	0.03823	63595	3584	137	9451155
PYRIDOXINE	diet	0.88838	3.54340e-186	0.08925	58989	2678	239	9451155
PYRIDOXINE	nutrition	0.15174	1.27156e-27	0.02016	27262	2678	54	9451155
PYRIDOXINE	absorption	0.14500	1.23112e-19	0.02539	63595	2678	68	9451155
PYRIDOXINE	nutritional status	0.14208	1.44801e-33	0.01195	4453	2678	32	9451155
TESTOSTERONE CYPIONATE	sex	0.85559	4.66925e-09	0.21875	73023	32	7	9451155
TESTOSTERONE UNDECANOATE	sex	0.83785	2.64270e-13	0.21154	73023	52	11	9451155
TESTOSTERONE UNDECANOATE	absorption	0.43019	1.44893e-06	0.11538	63595	52	6	9451155
CHOLECALCIFEROL	diet	0.83011	1.53776e-82	0.15768	58989	501	79	9451155
CHOLECALCIFEROL	absorption	0.82240	4.77863e-80	0.15768	63595	501	79	9451155
CHOLECALCIFEROL	healing	0.09612	1.14433e-07	0.02196	24294	501	11	9451155
CHOLECALCIFEROL	nutrition	0.08498	2.77237e-06	0.01996	27262	501	10	9451155
VASOPRESSIN	bleeding	0.82956	3.82350e-236	0.02952	30415	13585	401	9451155
VASOPRESSIN	pathogenesis	0.07141	1.17694e-11	0.01112	57792	13585	151	9451155
VASOPRESSIN	diet	0.06743	1.56305e-10	0.01097	58989	13585	149	9451155
GONADOTROPIN	sex	0.82851	3.17249e-223	0.04070	73023	14399	586	9451155
GONADOTROPIN	bleeding	0.12318	9.41904e-30	0.00986	30415	14399	142	9451155
GONADOTROPIN	linear growth	0.05705	1.01754e-17	0.00132	709	14399	19	9451155
GONADOTROPIN	weight loss	0.04473	8.90586e-12	0.00313	8807	14399	45	9451155
LOVASTATIN	diet	0.82106	9.74450e-78	0.15914	58989	465	74	9451155
GEMFIBROZIL	diet	0.79601	1.09904e-54	0.17065	58989	293	50	9451155
FENOFIBRATE	diet	0.79095	1.16075e-37	0.18232	58989	181	33	9451155
POLYTETRAFLUOROETHYLENE	anastomosis	0.78961	5.05794e-154	0.08946	14623	1252	112	9451155
POLYTETRAFLUOROETHYLENE	healing	0.45730	1.35365e-78	0.06230	24294	1252	78	9451155
POLYTETRAFLUOROETHYLENE	bleeding	0.15940	1.99251e-21	0.02796	30415	1252	35	9451155
POLYTETRAFLUOROETHYLENE	resection	0.15684	8.14979e-19	0.02955	41979	1252	37	9451155
POLYTETRAFLUOROETHYLENE	excision	0.13171	1.03228e-18	0.02236	21648	1252	28	9451155
CYCLACILLIN	absorption	0.77664	8.07986e-17	0.19444	63595	72	14	9451155
SODIUM TETRADECYL	bleeding	0.77244	8.41385e-24	0.18824	30415	85	16	9451155
MEDRYSONE	inflammation	0.77026	3.02596e-07	0.20000	26813	20	4	9451155
FENOLDOPAM MESYLATE	pathogenesis	0.76619	6.26268e-06	0.20000	57792	20	4	9451155
CARBENICILLIN INDANYL	absorption	0.76568	9.11099e-06	0.20000	63595	20	4	9451155
PARATHYROID HORMONE	diet	0.74253	4.41717e-189	0.04631	58989	8011	371	9451155
PARATHYROID HORMONE	absorption	0.70067	5.52187e-176	0.04594	63595	8011	368	9451155
PARATHYROID HORMONE	pathogenesis	0.29807	9.61037e-68	0.02659	57792	8011	213	9451155
PARATHYROID HORMONE	sex	0.09292	2.17064e-13	0.01585	73023	8011	127	9451155
AMMONIUM	absorption	0.72932	3.40953e-197	0.03537	63595	14672	519	9451155
AMMONIUM	diet	0.13120	2.65419e-27	0.01445	58989	14672	212	9451155
BACAMPICILLIN	absorption	0.71832	2.39473e-32	0.16854	63595	178	30	9451155
NORGESTIMATE	bleeding	0.71752	1.38047e-16	0.18033	30415	61	11	9451155
NORGESTIMATE	sex	0.56422	1.18407e-09	0.14754	73023	61	9	9451155
VITAMIN K	bleeding	0.71525	1.32092e-161	0.06257	30415	2861	179	9451155
VITAMIN K	diet	0.23584	1.87414e-39	0.03390	58989	2861	97	9451155
VITAMIN K	absorption	0.08556	3.21613e-09	0.01748	63595	2861	50	9451155
VITAMIN K	nutrition	0.08006	7.72903e-13	0.01258	27262	2861	36	9451155
VITAMIN K	oral intake	0.03405	4.59073e-09	0.00245	743	2861	7	9451155
PHENOBARBITAL	diet	0.71388	6.66856e-183	0.04360	58989	8623	376	9451155
PHENOBARBITAL	sex	0.19152	9.37760e-38	0.02261	73023	8623	195	9451155
PHENOBARBITAL	absorption	0.14725	4.41654e-28	0.01844	63595	8623	159	9451155
PHENOBARBITAL	enterohepatic circulation	0.04029	4.20573e-12	0.00151	883	8623	13	9451155
CISPLATIN	resection	0.69482	2.86747e-176	0.04403	41979	6428	283	9451155
CISPLATIN	weight loss	0.20246	1.50095e-53	0.01151	8807	6428	74	9451155
CISPLATIN	excision	0.16409	9.25856e-39	0.01369	21648	6428	88	9451155
CISPLATIN	absorption	0.10697	6.98673e-17	0.01680	63595	6428	108	9451155
DESONIDE	inflammation	0.68107	6.54686e-10	0.17647	26813	34	6	9451155
FE-59	absorption	0.65611	1.11264e-21	0.16129	63595	124	20	9451155
CONJUGATED	absorption	0.65513	8.85607e-174	0.03489	63595	13272	463	9451155
CONJUGATED	enterohepatic circulation	0.42665	3.14743e-131	0.00671	883	13272	89	9451155
CONJUGATED	deconjugation	0.40032	1.06064e-124	0.00490	255	13272	65	9451155
CONJUGATED	bile acid metabolism	0.12499	1.00397e-38	0.00219	429	13272	29	9451155
CONJUGATED	pathogenesis	0.07790	3.24237e-13	0.01160	57792	13272	154	9451155
